task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
uas, zero-shot, 0.2, 0.3, 16386, 100000, kpv, 4, 61.96
uas, zero-shot, 0.2, 0.3, 16386, 100000, krl, 4, 63.32
uas, zero-shot, 0.2, 0.3, 16386, 100000, mdf, 4, 59.25
uas, zero-shot, 0.2, 0.3, 16386, 100000, olo, 4, 62.9
uas, zero-shot, 0.2, 0.3, 16386, 100000, sms, 4, 41.02
uas, full-train, 0.2, 0.2, 65538, 200000, myv, 1, 66.35
uas, full-train, 0.2, 0.2, 65538, 200000, myv, 2, 66.68
uas, full-train, 0.2, 0.2, 65538, 200000, myv, 3, 65.95
uas, full-train, 0.2, 0.2, 65538, 200000, myv, 4, 66.36
uas, full-train, 0.2, 0.2, 65538, 200000, sme, 1, 66.07
uas, full-train, 0.2, 0.2, 65538, 200000, sme, 2, 67.34
uas, full-train, 0.2, 0.2, 65538, 200000, sme, 3, 66.16
uas, full-train, 0.2, 0.2, 65538, 200000, sme, 4, 67.29
uas, full-train, 0.2, 0.2, 65538, 200000, et, 1, 85.23
uas, full-train, 0.2, 0.2, 65538, 200000, et, 2, 86.19
uas, full-train, 0.2, 0.2, 65538, 200000, et, 3, 85.2
uas, full-train, 0.2, 0.2, 65538, 200000, et, 4, 84.76
uas, full-train, 0.2, 0.2, 65538, 200000, fi, 1, 93.73
uas, full-train, 0.2, 0.2, 65538, 200000, fi, 2, 93.79
uas, full-train, 0.2, 0.2, 65538, 200000, fi, 3, 93.7
uas, full-train, 0.2, 0.2, 65538, 200000, fi, 4, 93.55
uas, full-train, 0.2, 0.2, 65538, 200000, hu, 1, 83.54
uas, full-train, 0.2, 0.2, 65538, 200000, hu, 2, 84.07
uas, full-train, 0.2, 0.2, 65538, 200000, hu, 3, 84.4
uas, full-train, 0.2, 0.2, 65538, 200000, hu, 4, 83.72
uas, full-train, 0.2, 0.2, 65538, 200000, ru, 1, 94.7
uas, full-train, 0.2, 0.2, 65538, 200000, ru, 2, 94.76
uas, full-train, 0.2, 0.2, 65538, 200000, ru, 3, 94.57
uas, full-train, 0.2, 0.2, 65538, 200000, ru, 4, 94.85
