task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
pos, few-shot, 0.2, 0.1, 16386, 100000, et, 4, 77.82
pos, few-shot, 0.2, 0.1, 16386, 100000, fi, 1, 67.44
pos, few-shot, 0.2, 0.1, 16386, 100000, fi, 2, 70.92
pos, few-shot, 0.2, 0.1, 16386, 100000, fi, 3, 73.85
pos, few-shot, 0.2, 0.1, 16386, 100000, fi, 4, 79.12
pos, few-shot, 0.2, 0.1, 16386, 100000, hu, 1, 86.47
pos, few-shot, 0.2, 0.1, 16386, 100000, hu, 2, 85.69
pos, few-shot, 0.2, 0.1, 16386, 100000, hu, 3, 81.43
pos, few-shot, 0.2, 0.1, 16386, 100000, hu, 4, 81.79
pos, few-shot, 0.2, 0.1, 16386, 100000, ru, 1, 80.27
pos, few-shot, 0.2, 0.1, 16386, 100000, ru, 2, 86.51
pos, few-shot, 0.2, 0.1, 16386, 100000, ru, 3, 86.09
pos, few-shot, 0.2, 0.1, 16386, 100000, ru, 4, 74.3
pos, zero-shot, 0.2, 0.1, 32770, 400000, kpv, 1, 80.17
pos, zero-shot, 0.2, 0.1, 32770, 400000, krl, 1, 87.49
pos, zero-shot, 0.2, 0.1, 32770, 400000, mdf, 1, 78.36
pos, zero-shot, 0.2, 0.1, 32770, 400000, olo, 1, 85.28
pos, zero-shot, 0.2, 0.1, 32770, 400000, sms, 1, 53.45
pos, zero-shot, 0.2, 0.1, 32770, 400000, kpv, 2, 80.22
pos, zero-shot, 0.2, 0.1, 32770, 400000, krl, 2, 87.69
pos, zero-shot, 0.2, 0.1, 32770, 400000, mdf, 2, 79.27
pos, zero-shot, 0.2, 0.1, 32770, 400000, olo, 2, 85.08
pos, zero-shot, 0.2, 0.1, 32770, 400000, sms, 2, 54.07
pos, zero-shot, 0.2, 0.1, 32770, 400000, kpv, 3, 79.85
pos, zero-shot, 0.2, 0.1, 32770, 400000, krl, 3, 87.04
pos, zero-shot, 0.2, 0.1, 32770, 400000, mdf, 3, 78.73
pos, zero-shot, 0.2, 0.1, 32770, 400000, olo, 3, 85.89
pos, zero-shot, 0.2, 0.1, 32770, 400000, sms, 3, 53.76
pos, zero-shot, 0.2, 0.1, 32770, 400000, kpv, 4, 80.32
pos, zero-shot, 0.2, 0.1, 32770, 400000, krl, 4, 86.97
pos, zero-shot, 0.2, 0.1, 32770, 400000, mdf, 4, 77.87
pos, zero-shot, 0.2, 0.1, 32770, 400000, olo, 4, 86.02
pos, zero-shot, 0.2, 0.1, 32770, 400000, sms, 4, 53.35
pos, zero-shot, 0.2, 0.05, 32770, 100000, kpv, 1, 71.42
pos, zero-shot, 0.2, 0.05, 32770, 100000, krl, 1, 85.84
pos, zero-shot, 0.2, 0.05, 32770, 100000, mdf, 1, 72.87
pos, zero-shot, 0.2, 0.05, 32770, 100000, olo, 1, 81.52
pos, zero-shot, 0.2, 0.05, 32770, 100000, sms, 1, 52.9
pos, zero-shot, 0.2, 0.05, 32770, 100000, kpv, 2, 70.85
pos, zero-shot, 0.2, 0.05, 32770, 100000, krl, 2, 85.94
pos, zero-shot, 0.2, 0.05, 32770, 100000, mdf, 2, 72.34
pos, zero-shot, 0.2, 0.05, 32770, 100000, olo, 2, 82.73
pos, zero-shot, 0.2, 0.05, 32770, 100000, sms, 2, 51.93
pos, zero-shot, 0.2, 0.05, 32770, 100000, kpv, 3, 70.67
pos, zero-shot, 0.2, 0.05, 32770, 100000, krl, 3, 85.78
pos, zero-shot, 0.2, 0.05, 32770, 100000, mdf, 3, 73.61
pos, zero-shot, 0.2, 0.05, 32770, 100000, olo, 3, 82.12
pos, zero-shot, 0.2, 0.05, 32770, 100000, sms, 3, 52.73
pos, zero-shot, 0.2, 0.05, 32770, 100000, kpv, 4, 72.16
pos, zero-shot, 0.2, 0.05, 32770, 100000, krl, 4, 85.97
pos, zero-shot, 0.2, 0.05, 32770, 100000, mdf, 4, 73.19
pos, zero-shot, 0.2, 0.05, 32770, 100000, olo, 4, 82.06
pos, zero-shot, 0.2, 0.05, 32770, 100000, sms, 4, 51.38
pos, full-train, 0.2, 0.4, 131074, 100000, myv, 1, 59.38
pos, full-train, 0.2, 0.4, 131074, 100000, myv, 2, 67.45
pos, full-train, 0.2, 0.4, 131074, 100000, myv, 3, 61.03
pos, full-train, 0.2, 0.4, 131074, 100000, myv, 4, 60.76
pos, full-train, 0.2, 0.4, 131074, 100000, sme, 1, 78.49
pos, full-train, 0.2, 0.4, 131074, 100000, sme, 2, 78.11
pos, full-train, 0.2, 0.4, 131074, 100000, sme, 3, 73.49
pos, full-train, 0.2, 0.4, 131074, 100000, sme, 4, 64.56
pos, full-train, 0.2, 0.4, 131074, 100000, et, 1, 95.54
pos, full-train, 0.2, 0.4, 131074, 100000, et, 2, 94.81
pos, full-train, 0.2, 0.4, 131074, 100000, et, 3, 94.88
pos, full-train, 0.2, 0.4, 131074, 100000, et, 4, 94.73
pos, full-train, 0.2, 0.4, 131074, 100000, fi, 1, 97.08
pos, full-train, 0.2, 0.4, 131074, 100000, fi, 2, 97.09
pos, full-train, 0.2, 0.4, 131074, 100000, fi, 3, 97.06
pos, full-train, 0.2, 0.4, 131074, 100000, fi, 4, 96.9
pos, full-train, 0.2, 0.4, 131074, 100000, hu, 1, 93.55
pos, full-train, 0.2, 0.4, 131074, 100000, hu, 2, 95.4
pos, full-train, 0.2, 0.4, 131074, 100000, hu, 3, 93.44
pos, full-train, 0.2, 0.4, 131074, 100000, hu, 4, 95.15
pos, full-train, 0.2, 0.4, 131074, 100000, ru, 1, 98.29
pos, full-train, 0.2, 0.4, 131074, 100000, ru, 2, 98.37
pos, full-train, 0.2, 0.4, 131074, 100000, ru, 3, 98.39
pos, full-train, 0.2, 0.4, 131074, 100000, ru, 4, 98.3
pos, full-train, NA, NA, NA, 0, myv, 1, 48.78
pos, full-train, NA, NA, NA, 0, myv, 2, 63.83
pos, full-train, NA, NA, NA, 0, myv, 3, 64.13
pos, full-train, NA, NA, NA, 0, myv, 4, 63.32
pos, full-train, NA, NA, NA, 0, sme, 1, 70.56
pos, full-train, NA, NA, NA, 0, sme, 2, 69.53
pos, full-train, NA, NA, NA, 0, sme, 3, 73.72
pos, full-train, NA, NA, NA, 0, sme, 4, 73.82
pos, full-train, NA, NA, NA, 0, et, 1, 95.7
